,genesymbol_intercell_source,genesymbol_intercell_target,receptor_SCZ_risk,ligand_SCZ_risk,source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
0,DLL4,NOTCH4,True,False,Q9NR61,Q99466,True,False,True,True,False,18,Baccin2019:1621980212814940;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:16219802;Cellinker:12814948;Cellinker:16219802;Cellinker:22353464;HPMR:16219802;HPRD:12814948;LRdb:13;LRdb:16219802;NetPath:12814948;SignaLink3:10837027;SignaLink3:12814948;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:12814948;connectomeDB2020:16219802,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;KEGG-MEDICUS;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,post_translational,10837027;12814948;13;16219802;1621980212814940;18988627;22353464;23331499,8,29,18,ligand,ligand,,generic,functional,resource_specific,Q9NR61,protein,9,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,Q99466,protein,21,False,True,False,True,False
0,THBS2,NOTCH4,True,False,P35442,Q99466,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,post_translational,32196115,1,7,5,ligand,ligand,,generic,functional,resource_specific,P35442,protein,8,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q99466,protein,21,False,True,False,True,False
0,JAG1,CD46,True,False,P78504,P15529,False,False,False,False,False,4,CellTalkDB:23086448;IntAct:23086448;LRdb:23086448;connectomeDB2020:23086448,CellPhoneDB;CellTalkDB;IntAct;LRdb;connectomeDB2020,post_translational,23086448,1,5,5,ligand,ligand,talklr;connectomeDB2020;iTALK;EMBRACE;CellTalkDB;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P78504,protein,12,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,P15529,protein,12,False,True,False,True,False
0,WNT5A,PTK7,True,False,P41221,Q13308,False,False,False,False,False,1,CellTalkDB:26499793,CellTalkDB,post_translational,26499793,1,1,1,ligand,ligand,talklr;Cellinker;connectomeDB2020;iTALK;EMBRACE;CellPhoneDB;GO_Intercell;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P41221,protein,20,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q13308,protein,8,False,True,True,True,False
0,POSTN,PTK7,True,False,Q15063,Q13308,False,False,False,False,False,1,connectomeDB2020:30348980,connectomeDB2020,post_translational,30348980,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q15063,protein,3,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q13308,protein,8,False,True,True,True,False
0,EFNA5,EPHA7,False,True,P52803,Q15375,True,False,True,True,False,14,Baccin2019:10366629;BioGRID:10366629;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:10366629;Cellinker:15114347;HPRD:10366629;ICELLNET:9530499;LRdb:11114742;SignaLink3:10366629;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9576626;connectomeDB2020:10366629,Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,post_translational,10366629;11114742;15114347;18988627;23331499;9530499;9576626,7,25,17,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,,generic,functional,resource_specific,Q15375,protein,19,False,True,False,True,False
0,CXCL12,DPP4,True,False,P48061,P27487,False,False,False,False,False,4,CellPhoneDB:24218476;CellTalkDB:30759373;Cellinker:11390394;HPRD:11390394,CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HPRD,post_translational,11390394;24218476;30759373,3,5,4,ligand,ligand,,generic,functional,resource_specific,P48061,protein,20,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P27487,protein,13,False,True,True,False,False
0,TAC1,DPP4,True,False,P20366,P27487,False,False,False,False,False,1,Cellinker:21314817,Cellinker,post_translational,21314817,1,1,1,ligand,ligand,,generic,functional,resource_specific,P20366,protein,13,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P27487,protein,13,False,True,True,False,False
0,ADCYAP1,DPP4,True,False,P18509,P27487,False,False,False,False,False,1,Cellinker:21314817,CellPhoneDB;CellTalkDB;Cellinker;InnateDB-All_CellPhoneDB;MINT_CellPhoneDB,post_translational,21314817,1,5,3,ligand,ligand,,generic,functional,resource_specific,P18509,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P27487,protein,13,False,True,True,False,False
0,NPY,DPP4,True,False,P01303,P27487,False,False,False,False,False,2,CellTalkDB:30759373;Cellinker:21314817,CellTalkDB;Cellinker,post_translational,21314817;30759373,2,2,2,ligand,ligand,,generic,functional,resource_specific,P01303,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P27487,protein,13,False,True,True,False,False
0,PAM,DPP4,True,False,P19021,P27487,False,False,False,False,False,1,Cellinker:21314817,Cellinker,post_translational,21314817,1,1,1,ligand,ligand,,generic,functional,resource_specific,P19021,protein,1,True,False,True,True,False,receptor,receptor,,generic,functional,resource_specific,P27487,protein,13,False,True,True,False,False
0,PDGFB,LRP1,True,False,P01127,Q07954,False,False,False,False,False,5,CellTalkDB:11854294;Cellinker:11854294;HPRD:11854294;LRdb:11854294;connectomeDB2020:11854294,CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,post_translational,11854294,1,15,10,ligand,ligand,,generic,functional,resource_specific,P01127,protein,18,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q07954,protein,15,False,True,False,True,False
0,CALR,LRP1,True,False,P27797,Q07954,False,False,False,False,False,11,Adhesome:12821648;Adhesome:14980518;Cellinker:11560994;Cellinker:12821648;Cellinker:14980518;HPRD:12821648;HPRD:14980518;LRdb:13;LRdb:14980518;connectomeDB2020:12821648;connectomeDB2020:14980518,Adhesome;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,11560994;12821648;13;14980518,4,15,11,ligand,ligand,,generic,functional,resource_specific,P27797,protein,8,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q07954,protein,15,False,True,False,True,False
0,VWF,LRP1,True,False,P04275,Q07954,False,False,False,False,False,1,CellTalkDB:22234691,CellTalkDB,post_translational,22234691,1,1,1,ligand,ligand,,generic,functional,resource_specific,P04275,protein,10,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q07954,protein,15,False,True,False,True,False
0,APOE,LRP1,True,False,P02649,Q07954,False,False,False,False,False,11,AlzPathway:19026743;Baccin2019:11421580;CellTalkDB:11421580;Cellinker:11421580;Cellinker:31677479;HPRD:11421580;IntAct:15182176;IntAct:20030366;LRdb:11421580;connectomeDB2020:22622580;connectomeDB2020:2779654,AlzPathway;Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_LRdb;STRING_talklr;connectomeDB2020;iTALK;talklr,post_translational,11421580;15182176;19026743;20030366;22622580;2779654;31677479,7,18,12,ligand,ligand,,generic,functional,resource_specific,P02649,protein,9,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q07954,protein,15,False,True,False,True,False
0,LGALS9,LRP1,True,False,O00182,Q07954,False,False,False,False,False,0,,CellPhoneDB;InnateDB-All_CellPhoneDB,post_translational,,,2,1,ligand,ligand,,generic,functional,resource_specific,O00182,protein,8,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q07954,protein,15,False,True,False,True,False
0,APOC2,LRP1,True,False,P02655,Q07954,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P02655,protein,1,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q07954,protein,15,False,True,False,True,False
0,TGFA,PTPRD,True,False,P01135,P23468,False,False,False,False,False,1,Cellinker:32589946,Cellinker,post_translational,32589946,1,1,1,ligand,ligand,,generic,functional,resource_specific,P01135,protein,20,True,False,True,True,False,receptor,receptor,,generic,functional,resource_specific,P23468,protein,9,False,True,False,True,False
0,LRRC4B,PTPRD,True,False,Q9NT99,P23468,False,False,False,False,False,1,connectomeDB2020:23345436,connectomeDB2020,post_translational,23345436,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q9NT99,protein,1,True,False,True,True,False,receptor,receptor,,generic,functional,resource_specific,P23468,protein,9,False,True,False,True,False
0,SLITRK1,PTPRD,True,False,Q96PX8,P23468,False,False,False,False,False,2,Cellinker:32589946;connectomeDB2020:23345436,Cellinker;connectomeDB2020,post_translational,23345436;32589946,2,2,2,ligand,ligand,,generic,functional,resource_specific,Q96PX8,protein,1,True,False,True,True,False,receptor,receptor,,generic,functional,resource_specific,P23468,protein,9,False,True,False,True,False
0,APOD,LEPR,True,False,P05090,P48357,False,False,False,False,False,6,Baccin2019:11344130;CellTalkDB:11344130;Cellinker:11344130;HPRD:11344130;LRdb:11344130;connectomeDB2020:11344130,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr,post_translational,11344130,1,15,10,ligand,ligand,,generic,functional,resource_specific,P05090,protein,9,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P48357,protein,21,False,True,True,True,False
0,ANGPTL4,CDH11,True,False,Q9BY76,P55287,False,False,False,False,False,2,CellChatDB:30049845;Cellinker:30049845,CellChatDB;Cellinker,post_translational,30049845,1,2,2,ligand,ligand,,generic,functional,resource_specific,Q9BY76,protein,8,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P55287,protein,3,False,True,False,True,False
0,BMP8A,TGFBR2,True,False,Q7Z5Y6,P37173,False,False,False,False,False,1,connectomeDB2020:28465413,connectomeDB2020,post_translational,28465413,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q7Z5Y6,protein,14,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P37173,protein,21,False,True,False,True,False
0,PTN,PTPRS,False,True,P21246,Q13332,False,False,False,False,False,5,CellTalkDB:16169070;Cellinker:16169070;HPRD:16169070;LRdb:16169070;connectomeDB2020:16169070,CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;IMEx_CellPhoneDB;InnateDB-All_CellPhoneDB;IntAct_CellPhoneDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,post_translational,16169070,1,17,10,ligand,ligand,,generic,functional,resource_specific,P21246,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q13332,protein,16,False,True,True,True,False
0,PTN,ALK,False,True,P21246,Q9UM73,True,False,True,True,False,14,Baccin2019:11278720;CellChatDB:25620911;CellChatDB:28356350;CellTalkDB:11278720;Cellinker:11278720;Cellinker:25620911;Cellinker:28356350;DIP:1848244;HPRD:11278720;LRdb:11278720;SIGNOR:11278720;SignaLink3:11278720;SignaLink3:23331499;connectomeDB2020:11278720,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;connectomeDB2020;iTALK;talklr,post_translational,11278720;1848244;23331499;25620911;28356350,5,20,15,ligand,ligand,,generic,functional,resource_specific,P21246,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q9UM73,protein,16,False,True,False,True,False
0,ANGPTL4,CDH5,True,False,Q9BY76,P33151,False,False,False,False,False,2,CellChatDB:30049845;Cellinker:30049845,CellChatDB;Cellinker,post_translational,30049845,1,2,2,ligand,ligand,,generic,functional,resource_specific,Q9BY76,protein,8,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P33151,protein,10,False,True,False,True,False
0,GDF11,BMPR1B,True,False,O95390,O00238,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;UniProt_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,O95390,protein,16,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,O00238,protein,19,False,True,False,True,False
0,RGMA,BMPR1B,True,False,Q96B86,O00238,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;STRING_talklr;Wang;iTALK;talklr,post_translational,32196115,1,8,6,ligand,ligand,,generic,functional,resource_specific,Q96B86,protein,8,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,O00238,protein,19,False,True,False,True,False
0,NRG2,MOG,True,False,O14511,Q16653,False,False,False,False,False,1,Cellinker:32589946,Cellinker,post_translational,32589946,1,1,1,ligand,ligand,,generic,functional,resource_specific,O14511,protein,18,True,False,True,True,False,receptor,receptor,,generic,functional,resource_specific,Q16653,protein,5,False,True,False,True,False
0,PDGFB,ADGRV1,True,False,P01127,Q8WXG9,False,False,False,False,False,0,,CellPhoneDB;InnateDB-All_CellPhoneDB,post_translational,,,2,1,ligand,ligand,,generic,functional,resource_specific,P01127,protein,18,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q8WXG9,protein,8,False,True,False,True,False
0,EFNA5,EPHA6,False,True,P52803,Q9UF33,True,False,True,True,False,7,Baccin2019:9330863;CellTalkDB:11114742;Cellinker:9330863;LRdb:11114742;SignaLink3:23331499;SignaLink3:9576626;connectomeDB2020:9330863,Baccin2019;CellCall;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,post_translational,11114742;23331499;9330863;9576626,4,18,12,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,,generic,functional,resource_specific,Q9UF33,protein,16,False,True,False,True,False
0,EFNA5,EPHA8,False,True,P52803,P29322,True,False,True,True,False,15,Baccin2019:933086311416136;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:11416136;Cellinker:15114347;Cellinker:9330863;HPMR:9330863;HPRD:11416136;LRdb:11114742;SIGNOR:9330863;SignaLink3:11416136;SignaLink3:23331499;SignaLink3:9576626;connectomeDB2020:11416136;connectomeDB2020:9330863,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,post_translational,11114742;11416136;15114347;23331499;9330863;933086311416136;9576626,7,28,17,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,,generic,functional,resource_specific,P29322,protein,18,False,True,False,True,False
0,EFNA5,EPHA5,True,True,P52803,P54756,True,False,True,True,False,16,Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:10531456;Cellinker:15114347;Cellinker:9330863;HPMR:9330863;HPRD:10531456;LRdb:11114742;SIGNOR:9330863;SignaLink3:10531456;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9267020;connectomeDB2020:10531456;connectomeDB2020:9330863,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,post_translational,10531456;11114742;15114347;18988627;23331499;9267020;9330863,7,28,17,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,,generic,functional,resource_specific,P54756,protein,19,False,True,False,True,False
0,EFNA5,EPHB6,False,True,P52803,O15197,False,False,False,False,False,4,LRdb:15107857;Ramilowski2015:15107857;connectomeDB2020:15107857;talklr:15107857,Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr,post_translational,15107857,1,11,8,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,,generic,functional,resource_specific,O15197,protein,16,False,True,True,True,False
0,EFNA5,EPHA10,False,True,P52803,Q5JZY3,False,False,False,False,False,3,CellTalkDB:11114742;Cellinker:28589441;LRdb:11114742,CellTalkDB;Cellinker;LRdb,post_translational,11114742;28589441,2,3,3,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,,generic,functional,resource_specific,Q5JZY3,protein,7,False,True,True,True,False
0,PTN,PTPRB,False,True,P21246,P23467,False,False,False,False,False,4,CellTalkDB:26198319;Ramilowski2015:22839765;connectomeDB2020:22839765;talklr:22839765,CellTalkDB;DLRP_talklr;EMBRACE;Ramilowski2015;connectomeDB2020;iTALK;talklr,post_translational,22839765;26198319,2,7,6,ligand,ligand,,generic,functional,resource_specific,P21246,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P23467,protein,12,False,True,False,True,False
0,WNT7B,ADGRA2,False,True,P56706,Q96PE1,False,False,False,False,False,1,Cellinker:28289266,Cellinker,post_translational,28289266,1,1,1,ligand,ligand,,generic,functional,resource_specific,P56706,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q96PE1,protein,7,False,True,False,True,False
0,PTN,NCL,False,True,P21246,P19338,False,False,False,False,False,4,CellChatDB:25620911;CellChatDB:28356350;Cellinker:25620911;Cellinker:28356350,CellChatDB;Cellinker,post_translational,25620911;28356350,2,2,2,ligand,ligand,,generic,functional,resource_specific,P21246,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P19338,protein,2,False,True,False,False,False
0,PTN,CDH10,False,True,P21246,Q9Y6N8,False,False,False,False,False,4,Baccin2019:16169070;Cellinker:16169070;HPRD:16169070;LRdb:16169070,Baccin2019;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;iTALK;talklr,post_translational,16169070,1,12,8,ligand,ligand,,generic,functional,resource_specific,P21246,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q9Y6N8,protein,6,False,True,False,True,False
0,RARRES2,CMKLR1,True,False,Q99969,Q99788,True,False,True,True,False,34,Baccin2019:14530373;Baccin2019:14675762;Baccin2019:14701797;Baccin2019:18165312;Baccin2019:23396314;CellChatDB:24671882;CellTalkDB:14675762;Cellinker:14530373;Cellinker:14675762;Cellinker:14701797;Cellinker:18165312;Cellinker:23396314;Cellinker:24671882;Guide2Pharma:14530373;Guide2Pharma:14701797;Guide2Pharma:18165312;Guide2Pharma:23396314;HPMR:14675762;HPMR:14701797;LRdb:14530373;LRdb:14675762;LRdb:14701797;LRdb:18165312;LRdb:23396314;connectomeDB2020:14530373;connectomeDB2020:14675762;connectomeDB2020:14701797;connectomeDB2020:18165312;connectomeDB2020:23396314;scConnect:14530373;scConnect:14701797;scConnect:18165312;scConnect:23396314;scConnect:25437209,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,14530373;14675762;14701797;18165312;23396314;24671882;25437209,7,25,15,ligand,ligand,,generic,functional,resource_specific,Q99969,protein,13,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,Q99788,protein,17,False,True,False,True,False
0,NLGN1,NRXN1,True,False,Q8N2Q7,P58400,True,False,True,True,False,15,Baccin2019:14522992;Baccin2019:8576240;BioGRID:12796785;BioGRID:14522992;BioGRID:8576240;CellTalkDB:8576240;Cellinker:14522992;Cellinker:8576240;HPRD:14522992;HPRD:8576240;LRdb:145;LRdb:8576240;SIGNOR:18923512;connectomeDB2020:14522992;connectomeDB2020:8576240,Baccin2019;BioGRID;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,12796785;145;14522992;18923512;8576240,5,21,13,ligand,ligand,,generic,functional,resource_specific,Q8N2Q7,protein,6,True,False,True,True,False,receptor,receptor,,generic,functional,resource_specific,P58400,protein,12,False,True,False,True,False
0,NLGN4X,NRXN1,True,False,Q8N0W4,P58400,True,False,True,True,False,2,SIGNOR:18923512;connectomeDB2020:20543817,SIGNOR;connectomeDB2020,post_translational,18923512;20543817,2,2,2,ligand,ligand,,generic,functional,composite,Q8N0W4,protein,0,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,P58400,protein,12,False,True,False,True,False
0,NLGN2,NRXN1,True,False,Q8NFZ4,P58400,True,False,True,True,False,7,Baccin2019:85762408576240;CellTalkDB:8576240;Cellinker:8576240;HPRD:8576240;LRdb:8576240;SIGNOR:18923512;connectomeDB2020:8576240,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr,post_translational,18923512;8576240;85762408576240,3,19,12,ligand,ligand,,generic,functional,resource_specific,Q8NFZ4,protein,6,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,P58400,protein,12,False,True,False,True,False
0,NLGN3,NRXN1,True,False,Q9NZ94,P58400,True,False,True,True,False,12,Baccin2019:8576240;Baccin2019:9325340;CellTalkDB:8576240;Cellinker:8576240;Cellinker:9325340;HPRD:8576240;HPRD:9325340;LRdb:8576240;LRdb:933;SIGNOR:18923512;connectomeDB2020:8576240;connectomeDB2020:9325340,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,18923512;8576240;9325340;933,4,20,12,ligand,ligand,,generic,functional,resource_specific,Q9NZ94,protein,6,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,P58400,protein,12,False,True,False,True,False
0,NXPH1,NRXN1,True,False,P58417,P58400,True,False,True,True,False,12,Baccin2019:8699246;Baccin2019:9856994;Cellinker:8699246;Cellinker:9856994;HPMR:9856994;HPRD:8699246;HPRD:9856994;LRdb:8699246;LRdb:9856994;SIGNOR:9856994;connectomeDB2020:8699246;connectomeDB2020:9856994,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr,post_translational,8699246;9856994,2,20,13,ligand,ligand,,generic,functional,resource_specific,P58417,protein,9,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P58400,protein,12,False,True,False,True,False
0,NXPH2,NRXN1,True,False,O95156,P58400,False,False,False,False,False,6,Baccin2019:8699246;CellTalkDB:8699246;Cellinker:8699246;HPRD:8699246;LRdb:8699246;connectomeDB2020:8699246,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,post_translational,8699246,1,14,10,ligand,ligand,,generic,functional,resource_specific,O95156,protein,9,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P58400,protein,12,False,True,False,True,False
0,CNTN4,PTPRG,False,True,Q8IWV2,P23470,False,False,False,False,False,6,CellTalkDB:20133774;Cellinker:20133774;LRdb:20133774;Ramilowski2015:20133774;connectomeDB2020:20133774;talklr:20133774,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,post_translational,20133774,1,11,9,ligand,ligand,,generic,functional,resource_specific,Q8IWV2,protein,8,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P23470,protein,15,False,True,False,True,False
0,SEMA6B,PLXNA4,True,False,Q9H3T3,Q9HCM2,False,False,False,False,False,3,CellChatDB:27533782;Cellinker:26633812;Cellinker:27533782,CellChatDB;Cellinker,post_translational,26633812;27533782,2,2,2,ligand,ligand,,generic,functional,resource_specific,Q9H3T3,protein,1,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,Q9HCM2,protein,16,False,True,False,True,False
